symbol,date,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
AAPL,2021-09-25,FY,1.0745531195957954,0.9096596297447422,0.2784485300563432,51.390968708397914,11.27659274770989,62.667561456107805,93.85107122231561,-31.183509766207806,0.4177935962516778,0.29782377527561593,0.2985290459437369,0.2588179335569424,0.13302260844085087,0.26974205275183616,1.5007132667617689,0.48309913489209433,0.8669773915591491,1.0023680804780217,0.29782377527561593,0.8202574344305731,4.563512442542399,0.6336151826987851,0.6640736066961648,41.19054820415879,0.8341792349201004,5.563512442542399,7.102415252591931,3.889140478060004,32.367933130699086,9.275278904665315,1.042207736708053,6.229345884552985,5.56562398361035,3.750552652516527,0.15279890156316012,0.284399030116151,0.8934523923950864,0.8341792349201004,6.663549606097483,-9.385475868290483,30.76227084565346,0.15279890156316012,39.34818597842333,39.34818597842333,6.786117248183458,26.219656246078664,26.706798633489267,23.86125313230481,23.86125313230481,0.3677417888750864,6.786117248183458,0.005827647019057021,20.889553448047103,39.34818597842333
AAPL,2020-09-26,FY,1.3636044481554577,1.2181949294064065,0.36071049035979963,49.78753437881355,8.741883356235881,58.52941773504943,91.04818971567418,-32.518771980624756,0.38233247727810865,0.24147314354406862,0.24439830246070343,0.20913611278072236,0.14428164731484103,0.1772557180259843,0.8786635853012749,0.3033831282952548,0.855718352685159,1.0121138064204682,0.24147314354406862,0.7982666847799239,3.957039440456695,0.6016060388034584,0.6324623822247223,23.07274625826662,0.7175104059198122,4.957039440456695,7.331152356789959,4.008866086627577,41.75301649839941,7.466545177609748,0.8475615027416885,4.649230448454163,4.2280138811865,5.241031369137106,0.24526658654264863,0.2938782944465694,0.909400798274537,0.7175104059198122,5.8591037838623,-11.037624846080176,11.912876550502068,0.2452665865426486,30.553901085207258,30.553901085207258,7.272321523437178,34.773150493918536,27.211358863304806,24.74603147242429,24.74603147242429,3.2774378851354733,7.272321523437178,0.007053332328502797,25.55889092824435,30.553901085207258
AAPL,2019-09-28,FY,1.540125617208044,1.3844473032028604,0.46202160464632325,64.25876528784583,9.263638723714628,73.52240401156047,104.31407696777144,-30.791672956210974,0.3781776810903472,0.24572017188496928,0.2526655238417367,0.21238094505984456,0.1594383680423506,0.16323009842961633,0.6106445053487756,0.2746157613037913,0.8405616319576494,1.0282652901611138,0.24572017188496928,0.7326921031797611,2.7410043320661304,0.5036177624180587,0.5442214219155312,17.87751677852349,0.642229770377706,3.7410043320661304,5.68015893808401,3.4990483605848257,39.40136385776912,6.960618545668575,0.7685722388306608,3.7566854936751732,3.1885078588792926,5.443948396585932,0.25551976255972203,0.2667099710193947,0.848755602311539,0.642229770377706,4.272844827586207,-6.611815150071463,19.14762693156733,0.25551976255972203,12.709658475945274,12.709658475945274,4.420393952398533,20.813514843118142,19.527159334612467,16.573785882482397,16.573785882482397,-62.49257831646355,4.420393952398533,0.012276627205241504,14.772472222957928,12.709658475945274
AAPL,2018-09-29,FY,1.1238426916297297,0.9865658104153475,0.22173258261598755,67.33249872926825,8.817631109699796,76.15012983896804,124.57021422115831,-48.42008438219027,0.38343718820007905,0.26694026619477024,0.27448935409175623,0.22414202074587247,0.18342180705869443,0.16277530931710985,0.5556011834209077,0.2848922482208801,0.8165781929413056,1.0282800643177523,0.26694026619477024,0.7070285050242668,2.4133013523477094,0.46661721806831874,0.5165501060325768,21.882098765432097,0.6763798991990078,3.4133013523477094,5.42085927135422,2.9300744345834526,41.3943377148635,6.430248886306411,0.7262150522933899,3.9065645257666572,3.2349203703371106,3.344901911600268,0.23033377567989788,0.29154916319960844,0.8280729395356046,0.6763798991990078,3.732118758434548,-5.816420040561857,194.0701754385965,0.23033377567989785,9.81575997742828,9.81575997742828,3.9598984706094167,17.66691697269503,16.40225876548257,13.582266630956788,13.582266630956788,0.5977091983097916,3.9598984706094167,0.013037576167697424,13.099961334254392,9.81575997742828
AAPL,2017-09-30,FY,1.2760628484139107,1.0896700855039974,0.2012518102644474,56.80067093014126,12.563630820713515,69.36430175085478,126.92760620497985,-57.563304454125074,0.38469860491899105,0.2676042820872994,0.27957894553164014,0.21092420845075338,0.24556476150353415,0.12882641166580963,0.3607018433832909,0.22347133931986668,0.7544352384964659,1.0447476525821595,0.2676042820872994,0.6428451530564666,1.7999060031183092,0.42034732372196804,0.4632258426201412,26.40723202755058,0.5497752420470263,2.799906003118309,6.425980433380988,2.8756549572876104,29.05211122554068,6.785483823224699,0.6107711040474902,3.047491375711535,2.4343800805099707,3.5546079710314378,0.264089677566131,0.27743702941099485,0.7988144281266707,0.5497752420470263,3.4427542900449306,-4.9705353653771,-2446.076923076923,0.26408967756613105,6.4889075193029315,6.4889075193029315,3.79445713218807,17.989671076916714,17.121402008542802,13.676822954180947,13.676822954180947,1.6327581901332018,3.79445713218807,0.014680072605940824,12.605748883229506,6.4889075193029315
AAPL,2016-09-24,FY,1.352669417512594,1.2208439865326683,0.2592714477381465,49.59276846952546,5.923304104250396,55.51607257377586,103.61336926074777,-48.097296686971916,0.3907595564809705,0.27835410106706115,0.284605289395703,0.211867983064288,0.2555725738121619,0.14202358821956815,0.3562366958026963,0.24733805834844239,0.7444274261878381,1.0224576835932293,0.27835410106706115,0.6013224075651412,1.5082924623193943,0.37032836465759345,0.40427162638597924,41.22527472527472,0.756319514661274,2.5082924623193943,7.359944025393358,3.5227114281117604,61.62101313320826,7.9836727138097,0.670340021014281,3.007958587560914,2.38885578395926,3.0687812795888,0.26593998292730975,0.30525090544845784,0.79417841516772,0.756319514661274,5.672037914691943,-4.858576911721287,-47.084406294706724,0.26593998292730975,5.018689993684161,5.018689993684161,2.9848124550753807,14.088076980322631,12.31237992577856,9.778226376397667,9.778226376397667,-1.4057780040580006,2.9848124550753807,0.01887695412927957,9.684452742967013,5.018689993684161
AAPL,2015-09-26,FY,1.1087706239920605,0.8924947277012778,0.2620022329735765,47.387608839826285,6.120287817030602,53.507896656856886,92.46871631605622,-38.96081965919933,0.4005990201741437,0.3047729071732666,0.31027105662880006,0.22845773698735639,0.26368337585327173,0.1838136319665105,0.44735453060198566,0.3394021985143113,0.7363166241467283,1.0180401516215078,0.3047729071732666,0.5891097118896719,1.433739684135562,0.30936013609693436,0.3506857363573554,97.17598908594816,1.260680711116627,2.433739684135562,7.702435487591866,3.947280924204001,59.63771817794807,10.400738729918562,0.8045848409007191,3.5312034353126602,3.0320221655950435,1.8076636491576055,0.2165224557066337,0.3477140962283123,0.8586370683926857,1.260680711116627,7.388489862714792,-7.0739902506963785,1113.2328767123288,0.21652245570663367,5.556988587658665,5.556988587658665,2.8378767853154483,12.421889592088998,9.505207556536444,8.161523550808456,8.161523550808456,0.28895363244680156,2.8378767853154483,0.017430718096587184,8.361592484231702,5.556988587658665
AAPL,2014-09-27,FY,1.0801128483167317,0.8242340184087756,0.21819442693229102,54.35014633879483,6.863786990682178,61.21393332947701,98.18044148301234,-36.96650815353534,0.3858803577778386,0.28722339232473537,0.29258458929401787,0.21614376760852322,0.26126058747639436,0.17041998973425523,0.3542004715501089,0.3117921979203164,0.7387394125236056,1.0186656000609489,0.28722339232473537,0.5188600709975457,1.0783974468161404,0.20626325302062135,0.2403603873551164,136.7265625,1.6918260376823913,2.0783974468161404,6.715713288511702,3.71764472115512,53.17764092846992,8.863217610550814,0.7884566444817308,2.4530561794355568,2.0499305570618507,1.0301825366621247,0.2815995950392306,0.32666648431302825,0.8356639257783063,1.6918260376823913,9.466233354470514,-6.085091205543667,45.47829398324448,0.28159959503923054,5.7343942277246365,5.7343942277246365,3.4992996138844057,16.189685470007593,12.818726912224449,10.712147654949508,10.712147654949508,1.2001363966253784,3.4992996138844057,0.017393765651649715,10.695249751993916,5.7343942277246365
AAPL,2013-09-28,FY,1.6786385084062485,1.4015071693618582,0.3266068074579688,44.08147563044877,6.039622535316962,50.12109816576573,76.58063336022363,-26.4595351944579,0.3762448072084723,0.2866947516236616,0.293458545433269,0.21670469837926393,0.2615491974877879,0.17892270531400967,0.29977579745687943,0.29997796035312413,0.7384508025122122,1.0235923182105757,0.2866947516236616,0.4031449275362319,0.6754486074351067,0.12070401184265776,,360.2867647058824,3.164268867924528,1.6754486074351067,8.280122087108182,4.766218089149193,60.43424036281179,10.297644152557691,0.8256521739130435,2.071305140693284,1.721005780634173,1.564922636949836,0.28522828522828525,0.3140015212685039,0.8308798867066671,,,-5.9129572498898195,36.06586021505376,0.28522828522828525,3.9685824869699307,3.9685824869699307,2.8688455776879525,13.23850197593347,10.996061845316168,9.136406620255805,9.136406620255805,-1.2819226059536728,2.8688455776879525,0.021545359569142133,8.642115370962136,3.9685824869699307
AAPL,2012-09-29,FY,1.4958486845519174,1.240750350267241,0.27881272378184835,43.5925320111432,3.286603829428773,46.87913584057197,87.98209366391185,-41.102957823339885,0.4387123980882766,0.35295959311984054,0.35629488588442765,0.26665090602397323,0.25160052364471064,0.23703312431842966,0.35304119786820065,0.4016884571195881,0.7483994763552894,1.0094495030864756,0.35295959311984054,0.32859641948382406,0.48941713898993316,,,,,1.489417138989933,8.372993794136528,4.148571428571429,111.05689001264223,10.128656484597464,0.88892675390767,1.9429297620346573,1.583730736892101,1.1128598599635742,0.05961708959336736,0.32494185600736064,0.8151250589900897,,,-5.409061901723038,-7.355510558287532,0.05961708959336735,4.776499932686846,4.776499932686846,3.607675371501214,13.529582274049602,13.620641121313069,11.102525897493157,11.102525897493157,0.2287552085736887,3.607675371501214,0.004406425001584553,9.381505031214633,4.776499932686846
